id,token,pair,ath,timestamp,isRug,isHoneyPot,sell_tax,buy_tax,lp_pool,fdv,pooled_weth,gas,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6,volume_7,volume_8,volume_9,volume_10,volume_11,volume_12,volume_13,volume_14,volume_15,volume_1_5,volume_1_10,volume_1_15,volume_1_30,volume_1_60,to_peak_5,to_peak_10,to_peak_15
1,0x8df174ce4dc6e5e7a28404bb771f61068f3ea7c1,0x12c6d221cb5d0fd346acf7f11df75beffc64f0ef,2599,1655067185,0,0,0,0,1.078814846,1057,0.69,,14,63,34,0,172,51,45,0,45,44,22,0,91,233,262,283,468,1076,2550,0,1761,1395,640
2,0xe5ed8aa3b7fc81665caba9a9380b114a01fe83fb,0xf537234466ebf8188f9cfae7e3a109cdbd9f52d4,176,1655067122,1,1,0,0,1.58E-11,2939,1.73,,22,318,125,0,130,103,0,148,29,184,817,0,0,0,0,595,0,0,0,0,79,40,0
3,0x13769eeb6927c313dbf2e1eb329c3e105cacda08,0xec2460a488e33c55080cf5e5f45c6d1f4836453e,62,1655061901,1,1,0,0,1.00E-18,3046,2.08,,122,138,74,672,0,59,0,0,0,143,49,0,0,0,0,1006,0,0,0,0,19,5,0
4,0x229f67db7ec66faf0d5816900f9459831d14436d,0xd5dda34fe5c7c89fcaaa9d6214be69400d173843,230,1655060761,0,0,0,0,1.99870817,1640,1.03,,165,91,22,0,45,0,0,0,0,0,0,0,0,29,0,323,323,352,416,0,134,143,134
5,0xfa8abee01c2b3d3a6f5109cf212338a8f3e426a8,0xe5ec578381d2bce060c2fcf763ec22ccc86cc658,333,1655058903,1,0,0,0,0.048017864,3559,2.12,,181,105,196,0,0,0,0,314,0,0,0,0,75,0,0,482,796,871,9035,0,260,260,260
6,0x3c23b09d6d981fb2c6c38c119f2eb62ee74d4a21,0x6158e7e7b63f3298feb91c86aacbee63ea1b8b34,1837,1655057582,0,0,0,0,5.489939865,3157,2.44,,662,867,1932,0,211,1208,0,454,3329,454,1381,4572,2196,1077,453,3672,9117,18796,24027,0,366,245,102
7,0x2e2cfaad2b7b9ff6cfba4975e244467233d137f8,0x51d552d58ab95ff5273b4c2f3d057337fa2879e3,59,1655057223,0,0,0,0,1.984981482,4026,2.22,,67,222,0,217,291,0,0,611,349,76,66,75,30,151,0,797,1833,2155,2476,0,5,41,47
8,0xfc4702f65014f0f563f66eb449a65555c706a7fd,0xc2a7dfce947bd7d7e6f4e21fd211864b30149631,35,1655055662,0,0,0,0,226577.1749,33418,5.5,,361,91,304,0,577,0,91,0,531,0,0,0,0,0,0,1333,0,0,0,0,5,0,0
9,0x45ea6a5b09deb38cf64a9da9c0743b0e07621034,0x65f153f68425c8639d0bdabed916ede980091a44,264,1655054162,0,0,0,0,2.004523019,6766,2.9,,1363,262,366,514,196,227,1139,242,766,841,0,499,329,0,183,2701,5916,6927,8106,0,6,16,139
10,0x025f4c9f9f53157b90044d7e746889b21c0d7ba9,0xf0941e42492e4d6ada52fdf8d9bee86cfe53639a,7,1655051223,1,1,0,0,2.00E-18,3088,2.02,,121,0,0,0,30,0,0,0,0,0,26,0,0,0,0,151,0,0,0,0,0,1,0
